ICB_CODE,Month,Forecast_Appointments,Num_Sub_ICBs
E54000010,2026-02,512357.25655868975,6
E54000010,2026-03,516053.4657606459,6
E54000010,2026-04,500729.17665374686,6
E54000010,2026-05,494565.1034344044,6
E54000010,2026-06,488241.19489156624,6
E54000010,2026-07,524654.9484207178,6
E54000010,2026-08,465180.2062508983,6
E54000010,2026-09,529614.6284430309,6
E54000010,2026-10,638067.1377905325,6
E54000010,2026-11,526911.6120229389,6
E54000010,2026-12,478522.4841267712,6
E54000010,2027-01,551454.4396160368,6
E54000011,2026-02,253156.12902592393,1
E54000011,2026-03,247035.66182899897,1
E54000011,2026-04,249130.6187497857,1
E54000011,2026-05,244060.75447265344,1
E54000011,2026-06,239626.02655875523,1
E54000011,2026-07,258259.75729328571,1
E54000011,2026-08,230719.38976029414,1
E54000011,2026-09,256009.54040857524,1
E54000011,2026-10,306372.56431070063,1
E54000011,2026-11,256412.39823090416,1
E54000011,2026-12,232284.8332984846,1
E54000011,2027-01,273086.41279524256,1
E54000013,2026-02,430484.71709975513,1
E54000013,2026-03,440102.7816083409,1
E54000013,2026-04,435054.4059419515,1
E54000013,2026-05,425347.9518654468,1
E54000013,2026-06,417739.1855955048,1
E54000013,2026-07,468581.4847976158,1
E54000013,2026-08,403346.3368593663,1
E54000013,2026-09,449436.3882587373,1
E54000013,2026-10,561337.8307239357,1
E54000013,2026-11,458696.2124952121,1
E54000013,2026-12,411493.88264585496,1
E54000013,2027-01,473833.91789343604,1
E54000015,2026-02,599023.3224115232,3
E54000015,2026-03,605564.8429113937,3
E54000015,2026-04,599917.4232315593,3
E54000015,2026-05,598239.8968744003,3
E54000015,2026-06,592598.6138356762,3
E54000015,2026-07,633959.2992736364,3
E54000015,2026-08,577626.6834150465,3
E54000015,2026-09,639848.4557133414,3
E54000015,2026-10,740063.4958681064,3
E54000015,2026-11,634064.7896406373,3
E54000015,2026-12,575502.7632164799,3
E54000015,2027-01,654927.2770407991,3
E54000018,2026-02,452086.80563372123,1
E54000018,2026-03,449884.79509142175,1
E54000018,2026-04,446665.30373068573,1
E54000018,2026-05,444520.5619654335,1
E54000018,2026-06,444260.5944509859,1
E54000018,2026-07,471359.3111932958,1
E54000018,2026-08,420260.7791890979,1
E54000018,2026-09,473274.73552437953,1
E54000018,2026-10,565991.4019669595,1
E54000018,2026-11,478352.526729153,1
E54000018,2026-12,432463.02874866733,1
E54000018,2027-01,494119.931240713,1
E54000019,2026-02,420809.0534295257,1
E54000019,2026-03,420575.163473673,1
E54000019,2026-04,414797.1359056661,1
E54000019,2026-05,405357.79913746216,1
E54000019,2026-06,398003.0722959039,1
E54000019,2026-07,416124.2710911648,1
E54000019,2026-08,378814.840068221,1
E54000019,2026-09,424845.3963387031,1
E54000019,2026-10,521172.64363011654,1
E54000019,2026-11,427105.0243928095,1
E54000019,2026-12,379613.6570201302,1
E54000019,2027-01,437619.5710146004,1
E54000027,2026-02,1246178.497251234,1
E54000027,2026-03,1263802.160807097,1
E54000027,2026-04,1222845.0077395972,1
E54000027,2026-05,1248195.4236778466,1
E54000027,2026-06,1246697.9345728902,1
E54000027,2026-07,1354806.4326522322,1
E54000027,2026-08,1173904.750282336,1
E54000027,2026-09,1306766.9587268222,1
E54000027,2026-10,1473767.2507927346,1
E54000027,2026-11,1308642.848253516,1
E54000027,2026-12,1177885.5630134165,1
E54000027,2027-01,1350039.340747416,1
E54000028,2026-02,700063.2971881616,1
E54000028,2026-03,708876.0797346947,1
E54000028,2026-04,681052.2759992504,1
E54000028,2026-05,693643.4608304836,1
E54000028,2026-06,690967.8833627012,1
E54000028,2026-07,748432.7477109814,1
E54000028,2026-08,648568.9339552002,1
E54000028,2026-09,733918.1565204731,1
E54000028,2026-10,841360.979176399,1
E54000028,2026-11,745796.6961360982,1
E54000028,2026-12,671279.6827594135,1
E54000028,2027-01,776629.8333765763,1
E54000029,2026-02,990806.7833104202,1
E54000029,2026-03,993301.5169467155,1
E54000029,2026-04,963857.59410333,1
E54000029,2026-05,983931.0151147224,1
E54000029,2026-06,984797.2349499947,1
E54000029,2026-07,1070778.4191946716,1
E54000029,2026-08,926637.2823906223,1
E54000029,2026-09,1044277.7523686782,1
E54000029,2026-10,1183683.2847874095,1
E54000029,2026-11,1043682.24512704,1
E54000029,2026-12,940450.2638802299,1
E54000029,2027-01,1081060.6939753515,1
E54000030,2026-02,737903.430290388,1
E54000030,2026-03,746371.4265791161,1
E54000030,2026-04,720718.3988568933,1
E54000030,2026-05,726219.5110449565,1
E54000030,2026-06,711850.2498605236,1
E54000030,2026-07,753479.1391412852,1
E54000030,2026-08,683488.3083911208,1
E54000030,2026-09,760523.8000306827,1
E54000030,2026-10,881067.827696689,1
E54000030,2026-11,765322.1220032595,1
E54000030,2026-12,691273.3595662306,1
E54000030,2027-01,796092.5144815485,1
E54000031,2026-02,693702.3031567882,1
E54000031,2026-03,703740.6333622176,1
E54000031,2026-04,681165.0461351237,1
E54000031,2026-05,693697.2570912414,1
E54000031,2026-06,689824.077353218,1
E54000031,2026-07,733127.6707957849,1
E54000031,2026-08,641100.9856297094,1
E54000031,2026-09,710819.2154025516,1
E54000031,2026-10,816986.9950871501,1
E54000031,2026-11,716624.5805124921,1
E54000031,2026-12,640712.9712654775,1
E54000031,2027-01,748651.2494961887,1
E54000032,2026-02,828617.2327296658,1
E54000032,2026-03,836434.6904116676,1
E54000032,2026-04,814016.0390623383,1
E54000032,2026-05,802648.1261993698,1
E54000032,2026-06,793577.7145450651,1
E54000032,2026-07,850184.9458876535,1
E54000032,2026-08,746734.2579743448,1
E54000032,2026-09,844906.9001852485,1
E54000032,2026-10,1004979.6568762137,1
E54000032,2026-11,842545.4901329129,1
E54000032,2026-12,755891.360029386,1
E54000032,2027-01,880446.7067507115,1
E54000034,2026-02,360740.0619228148,1
E54000034,2026-03,347064.0200598566,1
E54000034,2026-04,349803.33275673183,1
E54000034,2026-05,348514.1440437322,1
E54000034,2026-06,324866.5778543346,1
E54000034,2026-07,362694.08609758306,1
E54000034,2026-08,316239.0570259074,1
E54000034,2026-09,346446.75661193073,1
E54000034,2026-10,436577.14776449755,1
E54000034,2026-11,359414.19405688177,1
E54000034,2026-12,323770.8634639771,1
E54000034,2027-01,376932.80279847403,1
E54000036,2026-02,334120.063867139,1
E54000036,2026-03,340188.8125541462,1
E54000036,2026-04,337960.010216501,1
E54000036,2026-05,335562.5482313721,1
E54000036,2026-06,326174.54703632416,1
E54000036,2026-07,356146.03851948335,1
E54000036,2026-08,309992.31391587097,1
E54000036,2026-09,341515.3720451412,1
E54000036,2026-10,422870.40723595285,1
E54000036,2026-11,352387.1869485828,1
E54000036,2026-12,312233.1463652123,1
E54000036,2027-01,369069.84807108715,1
E54000037,2026-02,740919.9825733508,1
E54000037,2026-03,744639.5673010361,1
E54000037,2026-04,729996.1824558919,1
E54000037,2026-05,719978.6775773776,1
E54000037,2026-06,702621.8809191696,1
E54000037,2026-07,768743.8856723502,1
E54000037,2026-08,671535.1364089944,1
E54000037,2026-09,746503.4600020036,1
E54000037,2026-10,925851.3534714334,1
E54000037,2026-11,762514.9180882459,1
E54000037,2026-12,680331.2086425165,1
E54000037,2027-01,808039.1232263083,1
E54000038,2026-02,281431.2962145377,1
E54000038,2026-03,286789.0541671496,1
E54000038,2026-04,283231.4258581083,1
E54000038,2026-05,273144.713988842,1
E54000038,2026-06,266027.94526126137,1
E54000038,2026-07,289915.53314407484,1
E54000038,2026-08,260150.03867184662,1
E54000038,2026-09,290768.20826962416,1
E54000038,2026-10,383416.1200890827,1
E54000038,2026-11,296052.3239842108,1
E54000038,2026-12,266287.9230988194,1
E54000038,2027-01,306073.3071855188,1
E54000039,2026-02,477402.83524199214,1
E54000039,2026-03,490869.3649997932,1
E54000039,2026-04,476530.1929664717,1
E54000039,2026-05,466795.7470610298,1
E54000039,2026-06,458505.7331703854,1
E54000039,2026-07,494837.82510364446,1
E54000039,2026-08,437561.0339409814,1
E54000039,2026-09,483927.854116987,1
E54000039,2026-10,575840.7440170981,1
E54000039,2026-11,504093.6625929193,1
E54000039,2026-12,449358.23079373594,1
E54000039,2027-01,518501.4833146442,1
E54000040,2026-02,494866.17625671317,1
E54000040,2026-03,499331.370882731,1
E54000040,2026-04,489823.6367240177,1
E54000040,2026-05,487923.41324337083,1
E54000040,2026-06,480174.3318149942,1
E54000040,2026-07,523979.6140152902,1
E54000040,2026-08,447710.50781053776,1
E54000040,2026-09,509301.0773611967,1
E54000040,2026-10,629481.7058991258,1
E54000040,2026-11,517439.25298516307,1
E54000040,2026-12,460902.9147065819,1
E54000040,2027-01,541548.1432061137,1
E54000041,2026-02,444366.26378231804,1
E54000041,2026-03,455584.82292618137,1
E54000041,2026-04,450578.7232579562,1
E54000041,2026-05,438823.55524374015,1
E54000041,2026-06,435709.55556148867,1
E54000041,2026-07,479228.973923913,1
E54000041,2026-08,418405.5551819742,1
E54000041,2026-09,475690.7518791671,1
E54000041,2026-10,604300.2777374473,1
E54000041,2026-11,485735.2014374003,1
E54000041,2026-12,433721.5898442783,1
E54000041,2027-01,520997.5080618335,1
E54000042,2026-02,902992.9904454352,2
E54000042,2026-03,925081.5211097094,2
E54000042,2026-04,899639.1448700753,2
E54000042,2026-05,889172.1527436117,2
E54000042,2026-06,884932.2173707767,2
E54000042,2026-07,957497.7903328781,2
E54000042,2026-08,850278.9115912542,2
E54000042,2026-09,946939.824481643,2
E54000042,2026-10,1128870.801253127,2
E54000042,2026-11,966998.4032728781,2
E54000042,2026-12,862197.7186165939,2
E54000042,2027-01,1017871.85567563,2
E54000043,2026-02,369286.51154406165,1
E54000043,2026-03,370124.8083654029,1
E54000043,2026-04,368892.12204183935,1
E54000043,2026-05,359439.8609988123,1
E54000043,2026-06,352837.25180049456,1
E54000043,2026-07,382465.3150948582,1
E54000043,2026-08,336834.9814665883,1
E54000043,2026-09,366582.5766016763,1
E54000043,2026-10,458713.32676121406,1
E54000043,2026-11,383616.42117886205,1
E54000043,2026-12,342789.3378278585,1
E54000043,2027-01,403732.0095319783,1
E54000044,2026-02,849547.5691553293,3
E54000044,2026-03,864266.4965560241,3
E54000044,2026-04,829925.2278102351,3
E54000044,2026-05,831755.6668950969,3
E54000044,2026-06,823166.1406501136,3
E54000044,2026-07,876775.6092169352,3
