SUB_ICB_CODE,SUB_ICB_NAME,ICB_CODE,REGION_CODE,REGION_NAME,Month,Forecast_Appointments
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-02,184913.16084150848
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-03,187603.3003097863
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-04,190648.64546539052
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-05,184658.96625860213
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-06,186302.87448475734
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-07,205388.0104007597
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-08,180305.42996197086
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-09,205856.32991306868
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-10,248592.43307614743
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-11,201872.95808780627
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-12,184859.9842891196
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2027-01,210623.8310427527
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-02,65529.78400949859
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-03,66421.83175382593
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-04,66312.68600241878
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-05,66018.27757941592
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-06,66859.09411406897
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-07,70063.77443229337
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-08,64464.715125042254
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-09,73926.80131178076
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-10,89139.88326534163
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-11,76493.53217242604
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-12,71098.73696757875
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2027-01,81189.77809345309
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-02,129848.37907954359
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-03,122595.15709940353
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-04,125236.3060565466
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-05,123576.57532068639
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-06,115121.64366599274
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-07,124750.81586079036
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-08,109722.37194465409
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-09,123773.95611652288
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-10,165708.01518796032
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-11,130626.09880192361
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-12,114128.13072327303
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2027-01,132003.9945914353
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-02,186187.14299492378
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-03,187997.42152982316
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-04,182533.3377355572
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-05,180923.22782779482
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-06,178531.74484770515
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-07,187910.80616675917
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-08,169353.8373477657
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-09,187279.223916758
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-10,222005.43778326106
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-11,188859.0164830732
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-12,172378.76256797672
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2027-01,199893.11992377072
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2026-02,123588.8443146138
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2026-03,122724.01389046363
