SUB_ICB_CODE,SUB_ICB_NAME,ICB_CODE,REGION_CODE,REGION_NAME,Month,Forecast_Appointments,Staff_Appointments,Required_Staff_FTE
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-02,184913.16084150848,99358.31647479384,157.7116134520537
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-03,187603.3003097863,100803.79351620129,160.00602145428775
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-04,190648.64546539052,102440.13116987889,162.60338280933158
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-05,184658.96625860213,99221.73157353722,157.49481202148766
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-06,186302.87448475734,100105.04324830679,158.8968940449314
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-07,205388.0104007597,110359.94866270253,175.17452168682942
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-08,180305.42996197086,96882.47115974793,153.78170025356815
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-09,205856.32991306868,110611.5880706471,175.57394931848748
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-10,248592.43307614743,133574.7305730679,212.02338186201254
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-11,201872.95808780627,108471.2259858173,172.17654918383698
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-12,184859.9842891196,99329.74342624907,157.66625940674456
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2027-01,210623.8310427527,113173.28180775805,179.6401298535842
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-02,65529.78400949859,35210.738859854595,55.89006168230888
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-03,66421.83175382593,35690.057701672835,56.65088524075053
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-04,66312.68600241878,35631.41104796339,56.557795314227604
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-05,66018.27757941592,35473.21827719228,56.30669567808299
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-06,66859.09411406897,35925.00935018628,57.02382436537505
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-07,70063.77443229337,37646.96164287137,59.7570819728117
