SUB_ICB_CODE,SUB_ICB_NAME,ICB_CODE,REGION_CODE,REGION_NAME,Month,Appointments
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2023-08,167527
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2023-09,189843
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2023-10,200051
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2023-11,184244
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2023-12,153361
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2024-01,189710
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2024-02,172626
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2024-03,167967
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2024-04,175986
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2024-05,171089
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2024-06,159771
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2024-07,179138
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2024-08,154730
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2024-09,172722
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2024-10,230590
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2024-11,179559
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2024-12,161942
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2025-01,187153
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2025-02,171212
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2025-03,180618
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2025-04,178621
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2025-05,172506
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2025-06,186353
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2025-07,202698
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2025-08,169409
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2025-09,198648
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2025-10,245573
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2025-11,187247
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2025-12,187900
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-01,198227
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2023-08,55394
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2023-09,64754
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2023-10,68768
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2023-11,62231
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2023-12,51651
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2024-01,65330
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2024-02,59463
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2024-03,56912
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2024-04,58598
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2024-05,57324
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2024-06,55999
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2024-07,57637
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2024-08,51751
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2024-09,57678
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2024-10,75570
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2024-11,60154
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2024-12,52777
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2025-01,63403
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2025-02,56815
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2025-03,60427
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2025-04,55648
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2025-05,54910
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2025-06,56949
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2025-07,60560
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2025-08,50842
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2025-09,60635
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2025-10,83410
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2025-11,64768
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2025-12,64225
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-01,68860
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2023-08,117925
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2023-09,127942
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2023-10,150561
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2023-11,135655
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2023-12,108922
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-01,137526
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-02,130806
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-03,123081
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-04,126216
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-05,124968
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-06,116458
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-07,126053
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-08,110278
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-09,123886
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-10,165607
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-11,129779
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2024-12,113214
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-01,131665
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-02,118071
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-03,124548
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-04,118309
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-05,114662
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-06,124625
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-07,131000
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-08,110147
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-09,130984
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-10,163664
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-11,125575
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2025-12,125825
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-01,132017
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2023-08,166620
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2023-09,179849
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2023-10,191360
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2023-11,181160
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2023-12,149523
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-01,189567
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-02,178853
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-03,168737
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-04,175256
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-05,172015
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-06,161516
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-07,170415
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-08,160056
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-09,172265
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-10,216885
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-11,181336
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2024-12,166648
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-01,192502
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-02,178842
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-03,192147
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-04,175479
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-05,175611
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-06,181324
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-07,190479
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-08,155457
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-09,180749
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-10,222670
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-11,175175
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2025-12,173827
01H,NHS North East and North Cumbria ICB - 01H,E54000050,E40000012,North East and Yorkshire,2026-01,187042
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2023-08,120815
02P,NHS South Yorkshire ICB - 02P,E54000061,E40000012,North East and Yorkshire,2023-09,133122
