GP_CODE,GP_NAME,SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_NAME,ICB_CODE,ICB_NAME
E83003,OAKLEIGH ROAD HEALTH CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83005,LICHFIELD GROVE SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83006,GREENFIELD MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83007,SQUIRES LANE MEDICAL PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83008,HEATHFIELDE MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83009,PHGH DOCTORS,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83010,THE SPEEDWELL PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83011,THE EVERGLADE MEDICAL PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83012,THE OLD COURT HOUSE SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83013,CORNWALL HOUSE SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83016,MILLWAY MEDICAL PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83017,LONGROVE SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83018,WATLING MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83020,ST. GEORGES MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83021,TORRINGTON PARK GROUP PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83024,ST ANDREWS MEDICAL PRACTICE.,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83025,PENNINE DRIVE PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83026,SUPREME MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83027,THE PRACTICE AT 188,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83028,PARKVIEW SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83030,PENSHURST GARDENS SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83031,THE VILLAGE SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83032,OAK LODGE MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83034,COLNEY HATCH LANE SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83035,WENTWORTH MEDICAL PRACTICE.,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83038,JAI MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83039,RAVENSCROFT MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83041,WAKEMANS HILL SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83044,ADDINGTON MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83045,FRIERN BARNET MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83046,MULBERRY MEDICAL PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83049,LANGSTONE WAY SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83050,EAST FINCHLEY MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83053,LANE END MEDICAL GROUP,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83600,DRS ADLER AND ROSENBERG,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83613,EAST BARNET HEALTH CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83621,BRUNSWICK PARK MEDICAL PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83622,TEMPLE FORTUNE MEDICAL GROUP,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83637,COLINDALE MEDICAL CENTRE LP,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83638,THE MOUNTFIELD SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83639,ROSEMARY SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83649,THE HODFORD ROAD PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83653,THE PHOENIX PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E83668,DR SP TALPAHEWA,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board
E84002,FORTY WILLOWS SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84003,PREMIER MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84004,THE CIRCLE PRACTICE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84005,KINGS ROAD SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84006,THE LAW MEDICAL GROUP PRACTICE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84007,UXENDON CRESCENT SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84008,SIMPSON HOUSE MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84009,ENDERLEY ROAD MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84011,ST ANDREWS MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84012,MAPESBURY MEDICAL GROUP,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84013,CHURCH END MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84014,BACON LANE SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84015,WILLOW TREE FAMILY DOCTORS,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84017,SUDBURY & ALPERTON MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84018,STREATFIELD HEALTH CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84020,JAI MEDICAL CENTRE (BRENT),W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84021,THE WILLESDEN MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84022,ROXBOURNE MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84024,THE PINN MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84025,THE LONSDALE MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84028,THE STONEBRIDGE PRACTICE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84030,PRESTON HILL SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84031,BRENTFIELD MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84032,ELLIS PRACTICE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84033,CHALKHILL FAMILY PRACTICE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84036,GLADSTONE MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84039,HONEYPOT MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84040,THE PINNER ROAD SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84042,KILBURN PARK MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84044,THE NORTHWICK SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84048,THE FRYENT WAY SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84049,BRAMPTON HEALTH CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84051,STANLEY CORNER MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84053,HATCH END MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84057,THE STANMORE MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84058,GP DIRECT,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84059,THE ALLENDALE ROAD SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84061,ELLIOTT HALL MEDICAL CTR.,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84062,THE SHAFTESBURY MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
E84063,LANCELOT MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board
