GP_CODE,Month,Total_Appointments,Type
E83003,2022-10-01,2633.0,Historical
E83003,2022-11-01,3034.0,Historical
E83003,2022-12-01,2642.0,Historical
E83003,2023-01-01,2767.0,Historical
E83003,2023-02-01,2186.0,Historical
E83003,2023-03-01,2678.0,Historical
E83003,2023-04-01,1848.0,Historical
E83003,2023-05-01,2470.0,Historical
E83003,2023-06-01,2452.0,Historical
E83003,2023-07-01,2396.0,Historical
E83003,2023-08-01,1894.0,Historical
E83003,2023-09-01,3035.0,Historical
E83003,2023-10-01,2749.0,Historical
E83003,2023-11-01,2194.0,Historical
E83003,2023-12-01,2048.0,Historical
E83003,2024-01-01,2559.0,Historical
E83003,2024-02-01,2512.0,Historical
E83003,2024-03-01,2745.0,Historical
E83003,2024-04-01,2555.0,Historical
E83003,2024-05-01,2800.0,Historical
E83003,2024-06-01,2797.0,Historical
E83003,2024-07-01,3083.0,Historical
E83003,2024-08-01,2127.0,Historical
E83003,2024-09-01,2604.0,Historical
E83003,2024-10-01,3204.0,Historical
E83003,2024-11-01,2656.0,Historical
E83003,2024-12-01,2229.0,Historical
E83003,2025-01-01,2720.0,Historical
E83003,2025-02-01,2232.0,Historical
E83003,2025-03-01,2656.0,Historical
E83003,2025-04-01,2403.0,Historical
E83003,2025-05-01,2476.0,Historical
E83003,2025-06-01,2367.0,Historical
E83003,2025-07-01,2693.0,Historical
E83003,2025-08-01,2095.0,Historical
E83003,2025-09-01,2654.0,Historical
E83003,2025-10-01,3173.0,Historical
E83003,2025-11-01,2242.0,Historical
E83003,2025-12-01,2492.0,Historical
E83003,2026-01-01,2617.0,Historical
E83003,2026-02-01,2333.449140321123,Forecast
E83003,2026-03-01,2720.1965208481743,Forecast
E83003,2026-04-01,2292.545912997917,Forecast
E83003,2026-05-01,2608.0997258009625,Forecast
E83003,2026-06-01,2564.1627070500717,Forecast
E83003,2026-07-01,2752.0067954525107,Forecast
E83003,2026-08-01,2059.582240318817,Forecast
E83003,2026-09-01,2791.570027066578,Forecast
E83003,2026-10-01,2978.1936792188358,Forecast
E83003,2026-11-01,2562.220489727603,Forecast
E83003,2026-12-01,2382.256097064942,Forecast
E83003,2027-01-01,2699.177410801429,Forecast
E83006,2022-10-01,2392.0,Historical
E83006,2022-11-01,2418.0,Historical
E83006,2022-12-01,1777.0,Historical
E83006,2023-01-01,2072.0,Historical
E83006,2023-02-01,1918.0,Historical
E83006,2023-03-01,2167.0,Historical
E83006,2023-04-01,1672.0,Historical
E83006,2023-05-01,1905.0,Historical
E83006,2023-06-01,2400.0,Historical
E83006,2023-07-01,2102.0,Historical
E83006,2023-08-01,2472.0,Historical
E83006,2023-09-01,2636.0,Historical
E83006,2023-10-01,2624.0,Historical
E83006,2023-11-01,2131.0,Historical
E83006,2023-12-01,1543.0,Historical
E83006,2024-01-01,2199.0,Historical
E83006,2024-02-01,2229.0,Historical
E83006,2024-03-01,2117.0,Historical
E83006,2024-04-01,1968.0,Historical
E83006,2024-05-01,2143.0,Historical
E83006,2024-06-01,1973.0,Historical
E83006,2024-07-01,2258.0,Historical
E83006,2024-08-01,1862.0,Historical
E83006,2024-09-01,1873.0,Historical
E83006,2024-10-01,2815.0,Historical
E83006,2024-11-01,2312.0,Historical
E83006,2024-12-01,2055.0,Historical
E83006,2025-01-01,2492.0,Historical
E83006,2025-02-01,2164.0,Historical
E83006,2025-03-01,2294.0,Historical
E83006,2025-04-01,2105.0,Historical
E83006,2025-05-01,2287.0,Historical
E83006,2025-06-01,2245.0,Historical
E83006,2025-07-01,2229.0,Historical
E83006,2025-08-01,1844.0,Historical
E83006,2025-09-01,2044.0,Historical
E83006,2025-10-01,2466.0,Historical
E83006,2025-11-01,1949.0,Historical
E83006,2025-12-01,1857.0,Historical
E83006,2026-01-01,2053.0,Historical
E83006,2026-02-01,2101.2058503929825,Forecast
E83006,2026-03-01,2190.1262524389936,Forecast
E83006,2026-04-01,1912.719886211409,Forecast
E83006,2026-05-01,2109.1703252880325,Forecast
E83006,2026-06-01,2203.49765020999,Forecast
E83006,2026-07-01,2193.7881639618486,Forecast
E83006,2026-08-01,2057.0893046067563,Forecast
E83006,2026-09-01,2181.939151502947,Forecast
E83006,2026-10-01,2570.5271784068163,Forecast
E83006,2026-11-01,2199.4280913305674,Forecast
E83006,2026-12-01,1805.3518469449095,Forecast
E83006,2027-01-01,2200.8210165805804,Forecast
E83007,2022-10-01,1053.0,Historical
E83007,2022-11-01,1018.0,Historical
E83007,2022-12-01,1013.0,Historical
E83007,2023-01-01,1140.0,Historical
E83007,2023-02-01,1096.0,Historical
E83007,2023-03-01,1177.0,Historical
E83007,2023-04-01,804.0,Historical
E83007,2023-05-01,1773.0,Historical
E83007,2023-06-01,1984.0,Historical
E83007,2023-07-01,1573.0,Historical
E83007,2023-08-01,1655.0,Historical
E83007,2023-09-01,2011.0,Historical
E83007,2023-10-01,2034.0,Historical
E83007,2023-11-01,1750.0,Historical
E83007,2023-12-01,1710.0,Historical
E83007,2024-01-01,2314.0,Historical
E83007,2024-02-01,2076.0,Historical
E83007,2024-03-01,2041.0,Historical
E83007,2024-04-01,2035.0,Historical
E83007,2024-05-01,1780.0,Historical
E83007,2024-06-01,1676.0,Historical
E83007,2024-07-01,1906.0,Historical
E83007,2024-08-01,1749.0,Historical
E83007,2024-09-01,1703.0,Historical
E83007,2024-10-01,2255.0,Historical
E83007,2024-11-01,2006.0,Historical
E83007,2024-12-01,1730.0,Historical
E83007,2025-01-01,1908.0,Historical
E83007,2025-02-01,1794.0,Historical
E83007,2025-03-01,1740.0,Historical
E83007,2025-04-01,1732.0,Historical
E83007,2025-05-01,1639.0,Historical
E83007,2025-06-01,1680.0,Historical
E83007,2025-07-01,2061.0,Historical
E83007,2025-08-01,1619.0,Historical
E83007,2025-09-01,2082.0,Historical
E83007,2025-10-01,2432.0,Historical
E83007,2025-11-01,1755.0,Historical
E83007,2025-12-01,1839.0,Historical
E83007,2026-01-01,1790.0,Historical
E83007,2026-02-01,1856.7716015301698,Forecast
E83007,2026-03-01,1846.8098400608474,Forecast
E83007,2026-04-01,1779.2643793767065,Forecast
