GP_CODE,GP_NAME,SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_NAME,ICB_CODE,ICB_NAME,Model_Type,Validation_MAPE,Validation_RMSE,Avg_Monthly_Forecast
E83003,OAKLEIGH ROAD HEALTH CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,6.209581240878739,195.86460510604041,2534.899762738996
E83005,LICHFIELD GROVE SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,18.15810808969049,543.1239786065557,3459.5608459726504
E83006,GREENFIELD MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,11.556944997598457,257.71573316869694,2202.6856706356207
E83007,SQUIRES LANE MEDICAL PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,10.866969661301669,261.3328436747613,1814.3215592457261
E83008,HEATHFIELDE MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,19.47906788562374,503.1801864628084,1631.3140622602707
E83009,PHGH DOCTORS,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,13.787176463726741,595.1662676535262,5010.224557586526
E83010,THE SPEEDWELL PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,13.117329113773144,976.5017944611465,4672.945139063434
E83011,THE EVERGLADE MEDICAL PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,12.125167570126907,615.5476502340067,3812.2928715524645
E83012,THE OLD COURT HOUSE SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,11.43603825612628,406.7568464403545,3498.170047063126
E83016,MILLWAY MEDICAL PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,4.632974251945111,831.8449316838007,13115.57674466072
E83017,LONGROVE SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,13.610838157001897,1281.0190817261248,8881.28532154188
E83018,WATLING MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,23.741073084950724,2150.9781196767362,5543.732585737539
E83020,ST. GEORGES MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,6.9723866057019235,283.38253672776494,2853.82917751783
E83024,ST ANDREWS MEDICAL PRACTICE.,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,18.561177991066856,1212.8338824122154,4337.185964915664
E83025,PENNINE DRIVE PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,13.010319022536695,279.145509106664,2051.6630204203925
E83026,SUPREME MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,6.806596395692338,131.87123774774963,1695.7555716723734
E83027,THE PRACTICE AT 188,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,4.896935525784096,241.3065048944758,4700.984163663299
E83028,PARKVIEW SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,6.618599448077515,131.21583921770323,1806.9639127969558
E83030,PENSHURST GARDENS SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,6.314375239866053,182.37073774826925,2211.1644706153193
E83031,THE VILLAGE SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,11.885715443316048,450.3225941424597,2951.47449177789
E83032,OAK LODGE MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,6.8365724834296495,423.9427146173439,4375.7194394894
E83034,COLNEY HATCH LANE SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,9.854003126295584,219.40674113200254,1981.3984039624538
E83035,WENTWORTH MEDICAL PRACTICE.,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,12.016011809174488,680.7613964403603,5693.329105139889
E83038,JAI MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,8.733196707447116,612.8147704218784,6956.523465534895
E83039,RAVENSCROFT MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,8.004514357319666,170.24239677017124,1666.6052287241655
E83041,WAKEMANS HILL SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,8.288349421054551,133.09746229059064,1465.8562816715087
E83044,ADDINGTON MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,7.4126630044433375,261.1973252793763,2736.7214272017486
E83045,FRIERN BARNET MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,6.561745959584125,218.11332293057586,2629.264209734973
E83046,MULBERRY MEDICAL PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,19.1092401407471,459.0174471987125,2429.2650778023635
E83049,LANGSTONE WAY SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,13.438044511683145,310.28635493397337,2176.96265716815
E83050,EAST FINCHLEY MEDICAL CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,15.827057623128491,527.7376511828529,2301.5756573252556
E83053,LANE END MEDICAL GROUP,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,15.85211790611501,818.8113248249334,4832.56314503125
E83613,EAST BARNET HEALTH CENTRE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,14.729169654721455,608.1558529704009,3944.9867445394552
E83621,BRUNSWICK PARK MEDICAL PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,5.347107597654283,200.48965286757348,2827.071466278814
E83622,TEMPLE FORTUNE MEDICAL GROUP,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,12.699799135084527,388.3501709855517,3041.8122803881156
E83637,COLINDALE MEDICAL CENTRE LP,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,11.200512780445566,541.9193253391272,2441.232668099541
E83638,THE MOUNTFIELD SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,11.912835747457768,185.63895800792383,1551.291144843289
E83639,ROSEMARY SURGERY,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,16.757946245183987,541.6095464899046,2549.257259828893
E83653,THE PHOENIX PRACTICE,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,12.466608389027273,398.2675870654897,3412.9899777519945
E83668,DR SP TALPAHEWA,93C,NHS North Central London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,SARIMA,10.96982267213763,229.18118429466602,1403.2611473366844
E84002,FORTY WILLOWS SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,5.827171110387358,245.55613408156472,3804.8172107624596
E84003,PREMIER MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,10.508857015406743,815.2036856852641,5047.967190254199
E84004,THE CIRCLE PRACTICE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,11.512453091495399,369.6568316766385,2263.138847152589
E84005,KINGS ROAD SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,14.673957948996666,516.7430944863564,2435.316210862814
E84006,THE LAW MEDICAL GROUP PRACTICE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,7.059725191892601,840.3884180140146,7899.052163536307
E84007,UXENDON CRESCENT SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,10.39658332123629,281.55666426236223,2015.8624015400628
