SUB_ICB_CODE,SUB_ICB_NAME,ICB_CODE,REGION_CODE,REGION_NAME,Avg_GP_FTE,Avg_Staff_FTE,Avg_Total_FTE,Avg_Monthly_Appts,High_Demand,GP_Intensive,High_Seasonality,Seasonal_Swing,Priority_Score,Priority_Flag
92G,NHS Bath and North East Somerset Swindon and Wiltshire ICB - 92G,E54000040,E40000006,South West,446.7011561831749,432.3101667925707,879.0113229757457,506873.51207548636,True,True,True,315.22448402658097,3,CRITICAL
15N,NHS Devon ICB - 15N,E54000037,E40000006,South West,661.0884672409268,639.7907450688941,1300.879212309821,750139.6146948898,True,True,False,441.03080766419976,2,HIGH
A3A8R,NHS North East London ICB - A3A8R,E54000029,E40000003,London,896.5088349142385,867.62677595099,1764.1356108652283,1017272.0071790988,True,True,False,445.7647544201866,2,HIGH
70F,NHS Sussex ICB - 70F,E54000053,E40000005,South East,438.9842256954967,424.84184605939845,863.8260717548951,498117.0815075568,True,True,False,286.2587396311292,2,HIGH
91Q,NHS Kent and Medway ICB - 91Q,E54000032,E40000005,South East,734.4782305303502,710.8161730745201,1445.2944036048702,833415.2600653814,True,True,False,447.84472720153667,2,HIGH
92A,NHS Surrey Heartlands ICB - 92A,E54000052,E40000005,South East,448.75623698057876,434.2990408082305,883.0552777888092,509205.420123989,True,True,False,280.57030783530126,2,HIGH
52R,NHS Nottingham and Nottinghamshire ICB - 52R,E54000060,E40000011,Midlands,465.02142333558066,450.0402255549288,915.0616488905093,527661.5893507849,True,True,False,297.5021383534347,2,HIGH
93C,NHS North Central London ICB - 93C,E54000028,E40000003,London,634.5701414490518,614.1267375160592,1248.696878965111,720049.1688958694,True,True,False,334.33664749056334,2,HIGH
72Q,NHS South East London ICB - 72Q,E54000030,E40000003,London,659.0787439610959,637.8457673264272,1296.924511287523,747859.1739952244,True,True,False,342.6390026706208,2,HIGH
D2P2L,NHS Black Country ICB - D2P2L,E54000062,E40000011,Midlands,569.9218903209629,551.561203845106,1121.483094166069,646692.5508409223,True,True,False,354.12558056054536,2,HIGH
36L,NHS South West London ICB - 36L,E54000031,E40000003,London,622.0531423582287,602.012987887712,1224.0661302459407,705846.0821073287,True,True,False,305.69137900161377,2,HIGH
D9Y0V,NHS Hampshire and Isle Of Wight ICB - D9Y0V,E54000042,E40000005,South East,731.3109798526876,707.7509590051553,1439.0619388578427,829821.3685959089,True,True,False,429.5721036329628,2,HIGH
15C,NHS Bristol North Somerset and South Gloucestershire ICB - 15C,E54000039,E40000006,South West,428.4689802788552,414.6653613178433,843.1343415966985,486185.3922766402,True,True,False,239.8022938642098,2,HIGH
15E,NHS Birmingham and Solihull ICB - 15E,E54000055,E40000011,Midlands,670.3666087338012,648.7699806065449,1319.136589340346,760667.5573673687,True,True,False,351.7407794183182,2,HIGH
W2U3Z,NHS North West London ICB - W2U3Z,E54000027,E40000003,London,1129.0414719996113,1092.6681077935964,2221.7095797932075,1281127.6807097616,True,True,False,520.0163887143633,2,HIGH
15M,NHS Derby and Derbyshire ICB - 15M,E54000058,E40000011,Midlands,475.4614456112231,460.1439105551315,935.6053561663547,539507.9225956249,True,True,False,306.9772366506335,2,HIGH
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,62.9767046811666,60.947838007380234,123.92454268854682,71459.90790226201,False,False,True,42.79125200849592,1,HIGH
