SUB_ICB_CODE,SUB_ICB_NAME,ICB_CODE,REGION_CODE,REGION_NAME,Month,Forecast_Appointments,GP_Appointments,Required_GP_FTE,Required_Staff_FTE,Total_FTE
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-02,184913.16084150848,85554.84436671465,162.9616083175517,157.7116134520537,320.67322176960545
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-03,187603.3003097863,86799.50679358504,165.33239389254294,160.00602145428775,325.3384153468307
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-04,190648.64546539052,88208.51429551165,168.01621770573647,162.60338280933158,330.61960051506804
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-05,184658.96625860213,85437.23468506492,162.73758987631413,157.49481202148766,320.23240189780176
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-06,186302.87448475734,86197.83123645057,164.1863452122868,158.8968940449314,323.0832392572182
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-07,205388.0104007597,95028.06173805718,181.00583188201367,175.17452168682942,356.1803535688431
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-08,180305.42996197086,83422.95880222293,158.90087390899606,153.78170025356815,312.6825741625642
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-09,205856.32991306868,95244.74184242159,181.41855589032684,175.57394931848748,356.99250520881435
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-10,248592.43307614743,115017.70250307953,219.08133810110388,212.02338186201254,431.1047199631164
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-11,201872.95808780627,93401.73210198898,177.90806114664568,172.17654918383698,350.08461033048263
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2026-12,184859.9842891196,85530.24086287055,162.9147445007058,157.66625940674456,320.5810039074504
00L,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,North East and Yorkshire,2027-01,210623.8310427527,97450.54923499466,185.6200937809422,179.6401298535842,365.26022363452637
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-02,65529.78400949859,30319.045149643996,57.75056218979809,55.89006168230888,113.64062387210697
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-03,66421.83175382593,30731.774052153098,58.53671248029161,56.65088524075053,115.18759772104215
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-04,66312.68600241878,30681.27495445539,58.44052372277218,56.557795314227604,114.99831903699979
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-05,66018.27757941592,30545.05930222365,58.18106533756886,56.30669567808299,114.48776101565184
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-06,66859.09411406897,30934.084763882696,58.92206621691942,57.02382436537505,115.94589058229447
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-07,70063.77443229337,32416.812789422005,61.74631007508953,59.7570819728117,121.50339204790123
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-08,64464.715125042254,29826.263552948487,56.811930577044734,54.981669162053606,111.79359973909834
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-09,73926.80131178076,34204.14183595891,65.15074635420744,63.05184043781246,128.2025867920199
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-10,89139.88326534163,41242.86667821367,78.55784129183556,76.02701045575868,154.58485174759426
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-11,76493.53217242604,35391.70608673698,67.41277349854663,65.24099378680805,132.65376728535466
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2026-12,71098.73696757875,32895.66490697147,62.65840934661232,60.639796921598865,123.29820626821119
00N,NHS North East and North Cumbria ICB - 00N,E54000050,E40000012,North East and Yorkshire,2027-01,81189.77809345309,37564.545418739224,71.55151508331281,69.24640107097439,140.79791615428718
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-02,129848.37907954359,60077.702489453004,114.43371902752953,110.7471056985565,225.18082472608603
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-03,122595.15709940353,56721.812217261955,108.04154708049896,104.56086489228822,212.6024119727872
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-04,125236.3060565466,57943.807920268526,110.36915794336862,106.8134891052033,217.18264704857194
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-05,123576.57532068639,57175.890676569026,108.90645843156005,105.39791213351964,214.3043705650797
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-06,115121.64366599274,53263.998421000884,101.45523508762074,98.18673848411407,199.6419735717348
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-07,124750.81586079036,57719.1833562274,109.94130163090932,106.39941667390947,216.34071830481878
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-08,109722.37194465409,50765.88606539272,96.69692583884327,93.5817236178752,190.27864945671848
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-09,123773.95611652288,57267.21399391389,109.08040760745503,105.56625733747461,214.64666494492963
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-10,165708.01518796032,76669.08826394749,146.03635859799522,141.33163003811563,287.36798863611085
00P,NHS North East and North Cumbria ICB - 00P,E54000050,E40000012,North East and Yorkshire,2026-11,130626.09880192361,60437.53458310359,115.11911349162588,111.41041939495243,226.5295328865783
